idx,Date,count,Day_Of_Wk
282,2014-05-28,17,Weds
283,2014-05-29,29,Thurs
284,2014-05-30,14,Fri
285,2014-05-31,9,Sat
286,2014-06-01,19,Sun
287,2014-06-02,51,Mon
288,2014-06-03,19,Tues
289,2014-06-04,16,Weds
290,2014-06-05,45,Thurs
291,2014-06-06,18,Fri
292,2014-06-07,24,Sat
293,2014-06-08,29,Sun
294,2014-06-09,33,Mon
295,2014-06-10,26,Tues
296,2014-06-11,23,Weds
297,2014-06-12,37,Thurs
298,2014-06-13,12,Fri
299,2014-06-14,21,Sat
300,2014-06-15,13,Sun
301,2014-06-16,13,Mon
302,2014-06-17,20,Tues
303,2014-06-18,8,Weds
304,2014-06-19,22,Thurs
305,2014-06-20,19,Fri
306,2014-06-21,10,Sat
307,2014-06-22,3,Sun
308,2014-06-23,14,Mon
309,2014-06-24,24,Tues
310,2014-06-25,40,Weds
311,2014-06-26,10,Thurs
312,2014-06-27,18,Fri
313,2014-06-28,18,Sat
314,2014-06-29,37,Sun
315,2014-06-30,7,Mon
316,2014-07-01,44,Tues
317,2014-07-02,16,Weds
318,2014-07-03,18,Thurs
319,2014-07-04,7,Fri
320,2014-07-05,2,Sat
321,2014-07-06,1,Sun
322,2014-07-07,11,Mon
323,2014-07-08,24,Tues
324,2014-07-09,27,Weds
325,2014-07-10,21,Thurs
326,2014-07-11,4,Fri
327,2014-07-12,18,Sat
328,2014-07-13,22,Sun
329,2014-07-14,8,Mon
330,2014-07-15,8,Tues
331,2014-07-16,23,Weds
332,2014-07-17,24,Thurs
333,2014-07-18,9,Fri
334,2014-07-19,14,Sat
335,2014-07-20,37,Sun
336,2014-07-21,15,Mon
337,2014-07-22,10,Tues
338,2014-07-23,14,Weds
339,2014-07-24,20,Thurs
340,2014-07-25,7,Fri
341,2014-07-26,19,Sat
342,2014-07-27,33,Sun
343,2014-07-28,44,Mon
344,2014-07-29,16,Tues
345,2014-07-30,5,Weds
346,2014-07-31,14,Thurs
347,2014-08-01,7,Fri
348,2014-08-04,1,Mon
349,2014-08-05,7,Tues
350,2014-08-06,34,Weds
351,2014-08-07,7,Thurs
352,2014-08-09,26,Sat
353,2014-08-10,17,Sun
354,2014-08-11,3,Mon
355,2014-08-12,1,Tues
356,2014-08-13,2,Weds
357,2014-08-14,3,Thurs
358,2014-08-16,11,Sat
359,2014-08-17,11,Sun
360,2014-08-18,4,Mon
361,2014-08-20,19,Weds
362,2014-08-21,2,Thurs
363,2014-08-23,10,Sat
364,2014-08-24,14,Sun
365,2014-08-25,4,Mon
366,2014-08-26,5,Tues
367,2014-08-27,21,Weds
368,2014-08-28,14,Thurs
369,2014-08-30,12,Sat
370,2014-08-31,30,Sun
371,2014-09-01,20,Mon
372,2014-09-02,15,Tues
373,2014-09-03,26,Weds
374,2014-09-04,37,Thurs
375,2014-09-05,17,Fri
376,2014-09-06,10,Sat
377,2014-09-07,19,Sun
378,2014-09-08,24,Mon
379,2014-09-09,16,Tues
380,2014-09-10,21,Weds
381,2014-09-11,11,Thurs
382,2014-09-12,20,Fri
383,2014-09-13,42,Sat
384,2014-09-14,11,Sun
385,2014-09-15,17,Mon
386,2014-09-16,18,Tues
387,2014-09-17,41,Weds
388,2014-09-18,44,Thurs
389,2014-09-19,44,Fri
390,2014-09-20,29,Sat
391,2014-09-21,42,Sun
392,2014-09-22,10,Mon
393,2014-09-23,17,Tues
394,2014-09-24,19,Weds
395,2014-09-25,42,Thurs
396,2014-09-26,34,Fri
397,2014-09-27,39,Sat
398,2014-09-28,24,Sun
399,2014-09-29,10,Mon
400,2014-09-30,46,Tues
401,2014-10-01,34,Weds
402,2014-10-02,18,Thurs
403,2014-10-03,62,Fri
404,2014-10-04,51,Sat
405,2014-10-05,9,Sun
406,2014-10-06,20,Mon
407,2014-10-07,27,Tues
408,2014-10-08,7,Weds
409,2014-10-09,16,Thurs
410,2014-10-10,7,Fri
411,2014-10-11,10,Sat
412,2014-10-12,1,Sun
413,2014-10-13,1,Mon
414,2014-10-14,10,Tues
415,2014-10-15,23,Weds
416,2014-10-16,22,Thurs
417,2014-10-17,14,Fri
418,2014-10-18,14,Sat
419,2014-10-19,28,Sun
420,2014-10-20,21,Mon
421,2014-10-21,28,Tues
422,2014-10-22,16,Weds
423,2014-10-23,12,Thurs
424,2014-10-24,1,Fri
425,2014-10-25,17,Sat
426,2014-10-26,21,Sun
427,2014-10-27,21,Mon
428,2014-10-28,37,Tues
429,2014-10-29,22,Weds
430,2014-10-30,30,Thurs
431,2014-10-31,17,Fri
432,2014-11-01,44,Sat
433,2014-11-02,16,Sun
434,2014-11-03,44,Mon
435,2014-11-04,33,Tues
436,2014-11-05,13,Weds
437,2014-11-06,22,Thurs
438,2014-11-07,23,Fri
439,2014-11-08,1,Sat
440,2014-11-09,8,Sun
441,2014-11-10,10,Mon
442,2014-11-11,17,Tues
443,2014-11-12,41,Weds
444,2014-11-13,8,Thurs
445,2014-11-14,1,Fri
446,2014-11-15,22,Sat
447,2014-11-16,10,Sun
448,2014-11-17,21,Mon
449,2014-11-18,19,Tues
450,2014-11-19,31,Weds
451,2014-11-20,20,Thurs
452,2014-11-21,28,Fri
453,2014-11-22,6,Sat
454,2014-11-23,5,Sun
455,2014-11-24,3,Mon
456,2014-11-25,1,Tues
457,2014-11-26,18,Weds
458,2014-11-27,17,Thurs
459,2014-11-28,10,Fri
460,2014-11-29,8,Sat
461,2014-11-30,32,Sun
462,2014-12-01,30,Mon
463,2014-12-02,41,Tues
464,2014-12-03,36,Weds
465,2014-12-04,9,Thurs
466,2014-12-05,27,Fri
467,2014-12-06,54,Sat
468,2014-12-07,15,Sun
469,2014-12-08,36,Mon
470,2014-12-09,25,Tues
471,2014-12-10,36,Weds
472,2014-12-11,56,Thurs
473,2014-12-12,42,Fri
474,2014-12-13,45,Sat
475,2014-12-14,15,Sun
476,2014-12-15,73,Mon
477,2014-12-16,13,Tues
478,2014-12-17,13,Weds
479,2014-12-18,14,Thurs
480,2014-12-19,16,Fri
481,2014-12-20,32,Sat
482,2014-12-21,23,Sun
483,2014-12-22,18,Mon
484,2014-12-23,15,Tues
485,2014-12-24,12,Weds
486,2014-12-25,6,Thurs
487,2014-12-26,5,Fri
488,2014-12-27,15,Sat
489,2014-12-28,23,Sun
490,2014-12-29,6,Mon
491,2014-12-30,27,Tues
492,2014-12-31,56,Weds
493,2015-01-01,19,Thurs
494,2015-01-02,21,Fri
495,2015-01-03,29,Sat
496,2015-01-04,4,Sun
497,2015-01-05,11,Mon
498,2015-01-06,11,Tues
499,2015-01-07,15,Weds
500,2015-01-08,9,Thurs
501,2015-01-09,11,Fri
502,2015-01-10,23,Sat
503,2015-01-11,34,Sun
504,2015-01-12,17,Mon
505,2015-01-13,12,Tues
506,2015-01-14,18,Weds
507,2015-01-15,48,Thurs
508,2015-01-16,14,Fri
509,2015-01-17,8,Sat
510,2015-01-18,30,Sun
511,2015-01-19,10,Mon
512,2015-01-20,12,Tues
513,2015-01-21,17,Weds
514,2015-01-22,8,Thurs
515,2015-01-23,7,Fri
516,2015-01-24,10,Sat
517,2015-01-25,25,Sun
518,2015-01-26,25,Mon
519,2015-01-27,23,Tues
520,2015-01-28,26,Weds
521,2015-01-29,12,Thurs
522,2015-01-30,17,Fri
523,2015-01-31,15,Sat
524,2015-02-01,34,Sun
525,2015-02-02,31,Mon
526,2015-02-03,31,Tues
527,2015-02-04,40,Weds
528,2015-02-05,17,Thurs
529,2015-02-06,22,Fri
530,2015-02-07,42,Sat
531,2015-02-08,23,Sun
532,2015-02-09,46,Mon
533,2015-02-10,56,Tues
534,2015-02-11,28,Weds
535,2015-02-12,18,Thurs
536,2015-02-13,38,Fri
537,2015-02-14,42,Sat
538,2015-02-15,35,Sun
539,2015-02-16,35,Mon
540,2015-02-17,31,Tues
541,2015-02-18,16,Weds
542,2015-02-19,7,Thurs
543,2015-02-20,8,Fri
544,2015-02-21,36,Sat
545,2015-02-22,23,Sun
546,2015-02-23,26,Mon
547,2015-02-24,31,Tues
548,2015-02-25,3,Weds
549,2015-02-26,40,Thurs
550,2015-02-27,10,Fri
551,2015-02-28,50,Sat
552,2015-03-01,42,Sun
553,2015-03-02,9,Mon
554,2015-03-03,15,Tues
555,2015-03-04,26,Weds
556,2015-03-05,46,Thurs
557,2015-03-06,42,Fri
558,2015-03-07,3,Sat
559,2015-03-08,23,Sun
560,2015-03-09,39,Mon
561,2015-03-10,46,Tues
562,2015-03-11,5,Weds
563,2015-03-12,9,Thurs
564,2015-03-13,10,Fri
565,2015-03-14,9,Sat
566,2015-03-15,17,Sun
567,2015-03-16,42,Mon
568,2015-03-17,27,Tues
569,2015-03-18,21,Weds
570,2015-03-19,24,Thurs
571,2015-03-20,18,Fri
572,2015-03-21,18,Sat
573,2015-03-22,17,Sun
574,2015-03-23,45,Mon
575,2015-03-24,17,Tues
576,2015-03-25,23,Weds
577,2015-03-26,34,Thurs
578,2015-03-27,43,Fri
579,2015-03-28,44,Sat
580,2015-03-29,15,Sun
581,2015-03-30,7,Mon
582,2015-03-31,36,Tues
583,2015-04-01,45,Weds
584,2015-04-02,11,Thurs
585,2015-04-03,22,Fri
586,2015-04-04,26,Sat
587,2015-04-05,44,Sun
588,2015-04-06,12,Mon
589,2015-04-07,42,Tues
590,2015-04-08,30,Weds
591,2015-04-09,26,Thurs
592,2015-04-10,24,Fri
593,2015-04-11,41,Sat
594,2015-04-12,17,Sun
595,2015-04-13,46,Mon
596,2015-04-14,33,Tues
597,2015-04-15,19,Weds
598,2015-04-16,61,Thurs
599,2015-04-17,20,Fri
600,2015-04-18,27,Sat
601,2015-04-19,11,Sun
602,2015-04-20,20,Mon
603,2015-04-21,13,Tues
604,2015-04-22,29,Weds
605,2015-04-23,24,Thurs
606,2015-04-24,28,Fri
607,2015-04-25,42,Sat
608,2015-04-26,22,Sun
609,2015-04-27,39,Mon
610,2015-04-28,53,Tues
611,2015-04-29,64,Weds
612,2015-04-30,32,Thurs
613,2015-05-01,19,Fri
614,2015-05-02,35,Sat
615,2015-05-03,5,Sun
616,2015-05-04,28,Mon
617,2015-05-05,30,Tues
618,2015-05-06,9,Weds
619,2015-05-07,12,Thurs
620,2015-05-08,27,Fri
621,2015-05-09,10,Sat
622,2015-05-10,20,Sun
623,2015-05-11,40,Mon
624,2015-05-12,30,Tues
625,2015-05-13,20,Weds
626,2015-05-14,24,Thurs
627,2015-05-15,20,Fri
628,2015-05-16,9,Sat
629,2015-05-17,4,Sun
630,2015-05-18,33,Mon
631,2015-05-19,28,Tues
632,2015-05-20,36,Weds
633,2015-05-21,9,Thurs
634,2015-05-22,20,Fri
635,2015-05-23,18,Sat
636,2015-05-24,23,Sun
637,2015-05-25,3,Mon
638,2015-05-26,17,Tues
639,2015-05-27,13,Weds
640,2015-05-28,8,Thurs
641,2015-05-29,12,Fri
642,2015-05-30,7,Sat
643,2015-05-31,25,Sun
644,2015-06-01,14,Mon
645,2015-06-02,20,Tues
646,2015-06-03,23,Weds
647,2015-06-04,21,Thurs
648,2015-06-05,11,Fri
649,2015-06-06,29,Sat
650,2015-06-07,24,Sun
651,2015-06-08,17,Mon
652,2015-06-09,24,Tues
653,2015-06-10,56,Weds
654,2015-06-11,25,Thurs
655,2015-06-12,31,Fri
656,2015-06-13,22,Sat
657,2015-06-14,37,Sun
658,2015-06-15,44,Mon
659,2015-06-16,36,Tues
660,2015-06-17,34,Weds
661,2015-06-18,19,Thurs
662,2015-06-19,37,Fri
663,2015-06-20,26,Sat
664,2015-06-21,27,Sun
665,2015-06-22,13,Mon
666,2015-06-23,26,Tues
667,2015-06-24,16,Weds
668,2015-06-25,30,Thurs
669,2015-06-26,44,Fri
670,2015-06-27,36,Sat
671,2015-06-28,70,Sun
672,2015-06-29,40,Mon
673,2015-06-30,33,Tues
674,2015-07-01,19,Weds
675,2015-07-02,39,Thurs
676,2015-07-03,6,Fri
677,2015-07-04,26,Sat
678,2015-07-05,30,Sun
679,2015-07-06,38,Mon
680,2015-07-07,27,Tues
681,2015-07-08,7,Weds
682,2015-07-09,44,Thurs
683,2015-07-10,52,Fri
684,2015-07-11,16,Sat
685,2015-07-12,15,Sun
