Date,count
2015-03-12,9
2015-03-13,10
2015-03-14,9
2015-03-15,17
2015-03-16,42
2015-03-17,27
2015-03-18,21
2015-03-19,24
2015-03-20,18
2015-03-21,18
2015-03-22,17
2015-03-23,45
2015-03-24,17
2015-03-25,23
2015-03-26,34
2015-03-27,43
2015-03-28,44
2015-03-29,15
2015-03-30,7
2015-03-31,36
2015-04-01,45
2015-04-02,11
2015-04-03,22
2015-04-04,26
2015-04-05,44
2015-04-06,12
2015-04-07,42
2015-04-08,30
2015-04-09,26
2015-04-10,24
2015-04-11,41
2015-04-12,17
2015-04-13,46
2015-04-14,33
2015-04-15,19
2015-04-16,61
2015-04-17,20
2015-04-18,27
2015-04-19,11
2015-04-20,20
2015-04-21,13
2015-04-22,29
2015-04-23,24
2015-04-24,28
2015-04-25,42
2015-04-26,22
2015-04-27,39
2015-04-28,53
2015-04-29,64
2015-04-30,32
2015-05-01,19
2015-05-02,35
2015-05-03,5
2015-05-04,28
2015-05-05,30
2015-05-06,9
2015-05-07,12
2015-05-08,27
2015-05-09,10
2015-05-10,20
2015-05-11,40
2015-05-12,30
2015-05-13,20
2015-05-14,24
2015-05-15,20
2015-05-16,9
2015-05-17,4
2015-05-18,33
2015-05-19,28
2015-05-20,36
2015-05-21,9
2015-05-22,20
2015-05-23,18
2015-05-24,23
2015-05-25,3
2015-05-26,17
2015-05-27,13
2015-05-28,8
2015-05-29,12
2015-05-30,7
2015-05-31,25
2015-06-01,14
2015-06-02,20
2015-06-03,23
2015-06-04,21
2015-06-05,11
2015-06-06,29
2015-06-07,24
2015-06-08,17
2015-06-09,24
2015-06-10,56
2015-06-11,25
2015-06-12,31
2015-06-13,22
2015-06-14,37
2015-06-15,44
2015-06-16,36
2015-06-17,34
2015-06-18,19
2015-06-19,37
2015-06-20,26
2015-06-21,27
2015-06-22,13
2015-06-23,26
2015-06-24,16
2015-06-25,30
2015-06-26,44
2015-06-27,36
2015-06-28,70
2015-06-29,40
2015-06-30,33
2015-07-01,19
2015-07-02,39
2015-07-03,6
2015-07-04,26
2015-07-05,30
2015-07-06,38
2015-07-07,27
2015-07-08,7
2015-07-09,44
2015-07-10,52
2015-07-11,16
2015-07-12,15
2015-07-13,24
2015-07-14,41
2015-07-15,33
2015-07-16,51
2015-07-17,26
2015-07-18,57
2015-07-19,38
2015-07-20,42
2015-07-21,43
2015-07-22,21
2015-07-23,54
2015-07-24,24
2015-07-25,17
2015-07-26,36
2015-07-27,33
2015-07-28,44
2015-07-29,78
2015-07-30,51
2015-07-31,35
2015-08-01,25
2015-08-02,37
2015-08-03,19
2015-08-04,48
2015-08-05,28
2015-08-06,38
2015-08-07,12
2015-08-08,13
2015-08-09,26
2015-08-10,4
2015-08-11,26
2015-08-12,30
2015-08-13,49
2015-08-14,4
2015-08-15,15
2015-08-16,7
2015-08-17,44
2015-08-18,24
2015-08-19,29
2015-08-20,23
2015-08-21,23
2015-08-22,13
2015-08-23,49
2015-08-24,19
2015-08-25,30
2015-08-26,20
2015-08-27,58
2015-08-28,21
2015-08-29,44
2015-08-30,33
2015-08-31,21
2015-09-01,34
2015-09-02,39
2015-09-03,15
2015-09-04,30
2015-09-05,32
2015-09-06,57
2015-09-07,27
2015-09-08,27
2015-09-09,7
2015-09-10,39
2015-09-11,21
2015-09-12,6
2015-09-13,21
2015-09-14,42
2015-09-15,15
2015-09-16,13
2015-09-17,51
2015-09-18,35
2015-09-19,34
2015-09-20,13
2015-09-21,12
2015-09-22,30
2015-09-23,46
2015-09-24,10
2015-09-25,17
2015-09-26,13
2015-09-27,37
2015-09-28,20
2015-09-29,35
2015-09-30,17
2015-10-01,29
2015-10-02,6
2015-10-03,5
2015-10-04,12
2015-10-05,18
2015-10-06,24
2015-10-07,16
2015-10-08,41
2015-10-09,8
2015-10-10,17
2015-10-11,18
2015-10-12,55
2015-10-13,35
2015-10-14,18
2015-10-15,17
2015-10-16,25
2015-10-17,61
2015-10-18,24
2015-10-19,39
2015-10-20,42
2015-10-21,38
2015-10-22,31
2015-10-23,13
2015-10-24,18
2015-10-25,15
2015-10-26,15
2015-10-27,8
2015-10-28,24
2015-10-29,16
2015-10-30,9
2015-10-31,11
2015-11-01,15
2015-11-02,26
2015-11-03,21
2015-11-04,48
2015-11-05,27
2015-11-06,16
2015-11-07,6
2015-11-08,39
2015-11-09,24
2015-11-10,42
2015-11-11,22
2015-11-12,9
2015-11-14,8
2015-11-15,7
2015-11-16,25
2015-11-17,21
2015-11-18,13
2015-11-19,23
2015-11-20,3
2015-11-21,27
2015-11-22,21
2015-11-23,21
2015-11-24,31
2015-11-25,9
2015-11-26,27
2015-11-27,26
2015-11-28,3
2015-11-29,12
2015-11-30,27
2015-12-01,34
2015-12-02,27
2015-12-03,41
2015-12-04,36
2015-12-05,47
2015-12-06,9
2015-12-07,47
2015-12-08,13
2015-12-09,35
2015-12-10,20
2015-12-11,51
2015-12-12,37
2015-12-13,22
2015-12-14,18
2015-12-15,61
2015-12-16,23
2015-12-17,30
2015-12-18,19
2015-12-19,9
2015-12-20,16
2015-12-21,79
2015-12-22,38
2015-12-23,24
2015-12-24,15
2015-12-25,19
2015-12-26,14
2015-12-27,13
2015-12-28,37
2015-12-29,44
2015-12-30,33
2015-12-31,8
2016-01-01,11
2016-01-02,13
2016-01-03,12
2016-01-04,29
2016-01-05,39
2016-01-06,33
2016-01-07,16
2016-01-08,14
2016-01-09,25
2016-01-10,5
2016-01-11,18
2016-01-12,36
2016-01-13,47
2016-01-14,32
2016-01-15,39
2016-01-16,11
2016-01-17,29
2016-01-18,44
2016-01-19,23
2016-01-20,29
2016-01-21,29
2016-01-22,31
2016-01-23,44
2016-01-24,16
2016-01-25,45
2016-01-26,22
2016-01-27,41
2016-01-28,49
2016-01-29,48
2016-01-30,64
2016-01-31,53
2016-02-01,24
2016-02-02,26
2016-02-03,68
2016-02-04,49
2016-02-05,1
2016-02-06,18
2016-02-07,4
